#format table ## [Custom WaveView] saved 05:23:05 Mon Jan 15 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 3.280E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 3.330E-03 , 6.153E-03 , 6.153E-03 , 6.153E-03 , 6.153E-03 , 1.281E+00 , 6.153E-03 
 3.380E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.813E-06 
 3.430E-03 , 6.153E-03 , 6.153E-03 , 6.153E-03 , 6.153E-03 , 1.281E+00 , 6.153E-03 
 3.480E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 3.530E-03 , 6.153E-03 , 6.153E-03 , 6.153E-03 , 6.153E-03 , 6.153E-03 , 1.281E+00 
 3.580E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 3.630E-03 , 6.153E-03 , 6.153E-03 , 6.153E-03 , 6.153E-03 , 1.281E+00 , 6.153E-03 
 3.680E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.816E-06 
 3.730E-03 , 6.154E-03 , 6.154E-03 , 6.154E-03 , 6.154E-03 , 6.154E-03 , 1.281E+00 
 3.780E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 3.830E-03 , 6.154E-03 , 6.154E-03 , 6.154E-03 , 6.154E-03 , 6.154E-03 , 1.281E+00 
 3.880E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.804E-06 
 3.930E-03 , 6.154E-03 , 6.154E-03 , 6.154E-03 , 6.154E-03 , 1.281E+00 , 6.154E-03 
 3.980E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 4.030E-03 , 6.154E-03 , 6.154E-03 , 6.154E-03 , 6.154E-03 , 6.154E-03 , 1.281E+00 
 4.080E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 4.130E-03 , 6.155E-03 , 6.155E-03 , 6.155E-03 , 6.155E-03 , 6.155E-03 , 1.281E+00 
 4.180E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.751E-06 
 4.230E-03 , 6.155E-03 , 6.155E-03 , 6.155E-03 , 6.155E-03 , 6.155E-03 , 1.281E+00 
 4.280E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 4.330E-03 , 6.155E-03 , 6.155E-03 , 6.155E-03 , 6.155E-03 , 6.155E-03 , 1.281E+00 
 4.380E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.800E-06 
 4.430E-03 , 6.156E-03 , 6.156E-03 , 6.156E-03 , 6.156E-03 , 6.156E-03 , 1.281E+00 
 4.480E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 4.530E-03 , 6.156E-03 , 6.156E-03 , 6.156E-03 , 6.156E-03 , 6.156E-03 , 1.281E+00 
 4.580E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 4.630E-03 , 6.156E-03 , 6.156E-03 , 6.156E-03 , 6.156E-03 , 6.156E-03 , 1.281E+00 
 4.680E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.816E-06 
 4.730E-03 , 6.156E-03 , 6.156E-03 , 6.156E-03 , 6.156E-03 , 6.156E-03 , 1.281E+00 
 4.780E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
